delegacion|subdelegacion|ciz|cdsss_subdelegacion|descripcion|descripcion_SINDO|activo|tipo_subdelegacion|depto_audpatrones|anio_ini_oper|f_Alta|f_Baja|comentarios
0|0|0|0|Sin Subdelegación Asignada||0||0||||
1|0|0|0|Sin Subdelegación Asignada||0||0||||
2|0|0|0|Sin Subdelegación Asignada||0||0||||
3|0|0|0|Sin Subdelegación Asignada||0||0||||
4|0|0|0|Sin Subdelegación Asignada||0||0||||
5|0|0|0|Sin Subdelegación Asignada||0||0||||
6|0|0|0|Sin Subdelegación Asignada||0||0||||
7|0|0|0|Sin Subdelegación Asignada||0||0||||
8|0|0|0|Sin Subdelegación Asignada||0||0||||
9|0|0|0|Sin Subdelegación Asignada||0||0||||
10|0|0|0|Sin Subdelegación Asignada||0||0||||
11|0|0|0|Sin Subdelegación Asignada||0||0||||
12|0|0|0|Sin Subdelegación Asignada||0||0||||
13|0|0|0|Sin Subdelegación Asignada||0||0||||
14|0|0|0|Sin Subdelegación Asignada||0||0||||
15|0|0|0|Sin Subdelegación Asignada||0||0||||
16|0|0|0|Sin Subdelegación Asignada||0||0||||
17|0|0|0|Sin Subdelegación Asignada||0||0||||
18|0|0|0|Sin Subdelegación Asignada||0||0||||
19|0|0|0|Sin Subdelegación Asignada||0||0||||
20|0|0|0|Sin Subdelegación Asignada||0||0||||
21|0|0|0|Sin Subdelegación Asignada||0||0||||
22|0|0|0|Sin Subdelegación Asignada||0||0||||
23|0|0|0|Sin Subdelegación Asignada||0||0||||
24|0|0|0|Sin Subdelegación Asignada||0||0||||
25|0|0|0|Sin Subdelegación Asignada||0||0||||
26|0|0|0|Sin Subdelegación Asignada||0||0||||
27|0|0|0|Sin Subdelegación Asignada||0||0||||
28|0|0|0|Sin Subdelegación Asignada||0||0||||
29|0|0|0|Sin Subdelegación Asignada||0||0||||
30|0|0|0|Sin Subdelegación Asignada||0||0||||
31|0|0|0|Sin Subdelegación Asignada||0||0||||
32|0|0|0|Sin Subdelegación Asignada||0||0||||
33|0|0|0|Sin Subdelegación Asignada||0||0||||
34|0|0|0|Sin Subdelegación Asignada||0||0||||
35|0|0|0|Sin Subdelegación Asignada||0||0||||
36|0|0|0|Sin Subdelegación Asignada||0||0||||
37|0|0|0|Sin Subdelegación Asignada||0||0||||
38|0|0|0|Sin Subdelegación Asignada||0||0||||
39|0|0|0|Sin Subdelegación Asignada||0||0||||
40|0|0|0|Sin Subdelegación Asignada||0||0||||
1|1|3|1|Aguascalientes Norte|SUBDELEGACION NORTE|1|A|1|1957|19/02/2005 00:00||
1|19|3|2|Aguascalientes Sur|SUBDELEGACION SUR|1|B|0|1957|19/02/2005 00:00||
2|1|2|3|Mexicali|MEXICALI|1|A|1|1958|19/02/2005 00:00||
2|2|2|4|Tecate|TECATE|1|A|0|1958|19/02/2005 00:00||
2|3|2|5|Ensenada|ENSENADA|1|A|1|1958|19/02/2005 00:00||
2|4|2|6|San Luis Río Colorado|SAN LUIS RIO COLORADO|1|B|0|1958|19/02/2005 00:00||
2|5|2|7|Tijuana|TIJUANA|1|A|1|1958|19/02/2005 00:00||
2|59|2|8|Los Angeles|LOS ANGELES|1||1|2006|01/07/2006 00:00||
3|1|2|9|La Paz|LA PAZ|1|A|0|1958|19/02/2005 00:00||
3|8|2|10|Los Cabos|LOS CABOS|1|A|0|1958|19/02/2005 00:00||
4|1|3|11|Campeche|CAMPECHE|1|B|1|1957|19/02/2005 00:00||
4|4|3|12|Ciudad del Carmen|CD. DEL CARMEN|1|B|0|1957|19/02/2005 00:00||
5|3|2|13|Saltillo|SALTILLO|1|A|1|1957|19/02/2005 00:00||
5|9|2|14|Torreón|TORREON|1|A|1|1957|19/02/2005 00:00||
5|11|2|15|Ciudad Acuña|CD. ACUÑA|1|B|0|1957|19/02/2005 00:00||
5|12|2|16|Piedras Negras|PIEDRAS NEGRAS|1|B|0|1957|19/02/2005 00:00||
5|17|2|17|Monclova|MONCLOVA|1|B|0|1957|19/02/2005 00:00||
5|23|2|18|Sabinas|SABINAS|1|B|0|1957|19/02/2005 00:00||
6|1|3|19|Colima|COLIMA|1|B|0|1957|19/02/2005 00:00||
6|3|3|20|Manzanillo|MANZANILLO|1|B|0|1957|19/02/2005 00:00||
6|7|3|21|Tecoman|TECOMAN|1|B|0|1957|19/02/2005 00:00||
7|1|1|22|Tuxtla Gutierrez|TUXTLA GUTIERREZ|1|A|1|1956|19/02/2005 00:00||
7|2|1|23|Tapachula|TAPACHULA|1|B|0|1956|19/02/2005 00:00||
8|1|2|24|Chihuahua|CHIHUAHUA|1|A|1|1956|19/02/2005 00:00||
8|3|2|25|Ciudad Cuauhtémoc|CUAUHTEMOC|1|B|0|1956|19/02/2005 00:00||
8|5|2|26|Ciudad Delicias|DELICIAS|1|B|0|1956|19/02/2005 00:00||
8|8|2|27|Nuevo Casas Grandes|NUEVO CASAS GRANDES|1|B|0|1956|19/02/2005 00:00||
8|10|2|28|Juarez 1|JUAREZ UNO|1|A|1|1956|19/02/2005 00:00||
8|22|2|29|Hidalgo Del Parral|HIDALGO DEL PARRAL|1|B|0|1956|19/02/2005 00:00||
8|60|2|30|Juarez 2|JUAREZ DOS|1|A|1|1956|19/02/2005 00:00||
10|1|2|31|Durango|DURANGO|1|A|1|1957|19/02/2005 00:00||
10|13|2|32|Gomez Palacios|GOMEZ PALACIO|1|A|0|1957|19/02/2005 00:00||
11|1|3|33|Guanajuato|GUANAJUATO|1|B|0|1957|19/02/2005 00:00||
11|5|3|34|Irapuato|IRAPUATO|1|A|0|1957|19/02/2005 00:00||
11|8|3|35|Celaya|CELAYA|1|A|1|1957|19/02/2005 00:00||
11|14|3|36|Salamanca|SALAMANCA|1|B|0|1957|19/02/2005 00:00||
11|17|3|37|León|LEON|1|A|1|1957|19/02/2005 00:00||
12|1|1|38|Chilpancingo|CHILPANCINGO|1|B|0|1957|19/02/2005 00:00||
12|2|1|39|Acapulco|ACAPULCO|1|A|1|1957|19/02/2005 00:00||
12|3|1|40|Iguala de la Independencia|IGUALA DE LA INDEP.|1|B|0|1957|19/02/2005 00:00||
12|13|1|41|Zihuatanejo|ZIHUATANEJO|1|B|0|1957|19/02/2005 00:00||
13|1|1|42|Pachuca|PACHUCA|1|A|1|1955|19/02/2005 00:00||
13|5|1|43|Tulancingo|TULANCINGO|1|B|0|1955|19/02/2005 00:00||
13|7|1|44|Ciudad Sahagún|CD. SAHAGUN|1|B|0|1955|19/02/2005 00:00||
